family,date,ff_to_iem_beta,iem_to_ff_beta,ff_to_iem_change,iem_to_ff_change,ff_to_iem_pct_change,iem_to_ff_pct_change
51:0102,2002-01-14,0.9594905351755294,0.017558717784605913,0.21495495291346067,-0.0025375811490078275,28.871011410949436,-12.627106898591087
51:0102,2002-01-15,0.750926745075183,0.022310075815729736,0.006391162813114248,0.0022137768821159955,0.858409317885982,11.015843710471277
51:0102,2002-01-16,0.7455996977273875,0.02058688046938074,0.0010641154653188156,0.0004905815357670006,0.14292338615782343,2.441153654150902
51:0102,2002-01-17,0.8445495933864117,0.020363120261690005,0.10001401112434294,0.0002668213280762645,13.43307338253433,1.32771376937457
51:0102,2002-01-18,0.6615991775899418,0.023588710745038145,-0.08293640467212693,0.003492411811424404,-11.139347352633871,17.378383069247043
51:0102,2002-01-22,0.8123319287883959,0.020290309182225866,0.06779634652632716,0.00019401024861212535,9.105857146591491,0.9654028796696358
51:0102,2002-01-23,0.7079817623425811,0.019998474705913753,-0.036553819919487585,-9.782422769998717e-05,-4.909613561843311,-0.48677733160290076
51:0102,2002-01-24,0.6385683168624071,0.020109575781598242,-0.10596726539966161,1.3276847984501627e-05,-14.232666366019595,0.0660661350050597
51:0102,2002-01-25,0.7110274189201182,0.01899369583474315,-0.0335081633419505,-0.0011026030988705894,-4.500545593824417,-5.486597818398982
51:0102,2002-01-28,0.7891497768941128,0.021503259388536144,0.04461419463204408,0.001406960454922404,5.992217926844542,7.001092388056962
51:0102,2002-01-29,0.6398708452006503,0.020996283285730222,-0.10466473706141843,0.0008999843521164813,-14.057721290287178,4.478358702214254
51:0302,2002-02-20,0.7413311427867841,0.020083970923771746,-0.003204439475284593,-1.2328009841994225e-05,-0.4303944031188913,-0.06134467785694601
51:0302,2002-02-21,0.7443079308413086,0.020271551273034843,-0.00022765142076008882,0.00017525233942110308,-0.03057629832390709,0.8720627614071274
51:0302,2002-02-22,0.7421960412650854,0.020040542523695616,-0.0023395409969833025,-5.5756409918124306e-05,-0.3142282320309318,-0.2774461611180767
51:0302,2002-02-25,0.7439588452418543,0.020146495926669592,-0.0005767370202144351,5.019699305585171e-05,-0.07746265376090913,0.24978227693404054
51:0302,2002-02-26,0.7438507733506244,0.020103029396706572,-0.0006848089114442901,6.7304630928313736e-06,-0.09197799645299486,0.03349105780653858
51:0302,2002-02-27,0.7432463604570974,0.020092473041596216,-0.0012892218049713744,-3.825892017524785e-06,-0.17315784976379836,-0.01903779412399897
51:0302,2002-02-28,0.7534121616387848,0.019932177572697354,0.008876579376716043,-0.00016412136091638677,1.1922303766526474,-0.816674560119485
